城市,日期,最高温度,最低温度,白天天气状况,晚间天气状况,风向,风力,风速(公里/小时),相对湿度,降水量,紫外线强度指数,能见度(公里)
北京,2020-01-04,8,-5,晴,晴,东北风,1-2,8,58,0.0,5,25
北京,2020-01-05,2,-4,阴,小雪,东北风,1-2,11,93,0.0,1,22
北京,2020-01-06,5,-3,多云,多云,西北风,1-2,1,51,0.0,1,25
北京,2020-01-07,4,-3,多云,多云,东北风,1-2,11,47,0.0,1,25
北京,2020-01-08,4,-7,晴,晴,北风,1-2,11,47,0.0,1,25
北京,2020-01-09,4,-6,多云,多云,西南风,1-2,9,47,0.0,2,25
北京,2020-01-10,5,-4,晴,多云,北风,1-2,11,57,0.0,2,24
上海,2020-01-04,11,9,小雨,阴,东北风,1-2,9,69,0.0,1,24
上海,2020-01-05,13,11,小雨,多云,东南风,4-5,27,87,0.0,2,25
上海,2020-01-06,20,14,多云,多云,南风,3-4,15,95,1.0,3,25
上海,2020-01-07,21,6,小雨,阴,西风,5-6,35,69,1.0,0,24
上海,2020-01-08,8,4,多云,阴,西北风,4-5,32,70,0.0,1,25
上海,2020-01-09,9,5,阴,阴,东北风,1-2,4,66,0.0,1,25
上海,2020-01-10,11,8,小雨,小雨,东北风,3-4,21,84,2.8,1,25
天津,2020-01-04,7,-2,晴,晴,东风,1-2,1,79,0.0,5,25
天津,2020-01-05,5,0,阴,小雪,东风,1-2,11,95,0.0,1,6
天津,2020-01-06,4,-2,阴,阴,北风,1-2,10,58,2.9,1,24
天津,2020-01-07,2,-4,多云,多云,东北风,4-5,31,53,0.0,1,25
天津,2020-01-08,3,-5,晴,晴,东北风,3-4,21,48,0.0,1,25
天津,2020-01-09,4,-4,晴,多云,西南风,1-2,9,46,0.0,2,25
天津,2020-01-10,4,-2,晴,晴,无持续风向,1-2,5,76,0.0,1,16
重庆,2020-01-04,12,10,小雨,小雨,西北风,1-2,9,82,1.0,1,24
重庆,2020-01-05,13,10,小雨,小雨,东南风,1-2,2,81,1.0,0,25
重庆,2020-01-06,12,8,小雨,小雨,东南风,1-2,9,78,1.0,1,24
重庆,2020-01-07,16,9,多云,阴,东北风,1-2,10,85,0.0,0,22
重庆,2020-01-08,15,11,小雨,小雨,北风,1-2,4,87,0.0,2,24
重庆,2020-01-09,15,11,阴,小雨,东南风,1-2,10,85,0.0,1,25
重庆,2020-01-10,16,8,小雨,小雨,东风,1-2,11,79,1.0,1,25
哈尔滨,2020-01-04,-13,-22,霾,霾,西北风,1-2,11,95,0.0,2,22
哈尔滨,2020-01-05,-8,-16,晴,霾,南风,1-2,8,90,0.0,2,24
哈尔滨,2020-01-06,-4,-16,中雪,小雪,东南风,3-4,16,96,0.0,2,1
哈尔滨,2020-01-07,-9,-21,阵雪,晴,西北风,1-2,10,95,0.0,2,24
哈尔滨,2020-01-08,-11,-22,晴,晴,北风,1-2,4,94,0.0,2,24
哈尔滨,2020-01-09,-10,-18,晴,多云,南风,1-2,10,91,0.0,2,25
哈尔滨,2020-01-10,-9,-22,多云,多云,西南风,1-2,5,99,0.0,2,10
齐齐哈尔,2020-01-04,-8,-18,晴,晴,南风,1-2,6,80,0.0,2,25
齐齐哈尔,2020-01-05,-5,-16,晴,多云,东北风,1-2,4,96,0.0,2,4
齐齐哈尔,2020-01-06,-7,-20,小雪,小雪,西风,1-2,9,92,0.0,2,24
齐齐哈尔,2020-01-07,-8,-20,晴,晴,西北风,1-2,10,78,0.0,2,25
齐齐哈尔,2020-01-08,-9,-19,晴,晴,东北风,1-2,2,74,0.0,2,25
齐齐哈尔,2020-01-09,-8,-20,多云,多云,东北风,1-2,1,95,0.0,2,25
齐齐哈尔,2020-01-10,-8,-20,晴,多云,南风,1-2,5,84,0.0,2,25
牡丹江,2020-01-04,-7,-19,晴,晴,西风,1-2,11,93,0.0,1,24
牡丹江,2020-01-05,-5,-16,晴,多云,西风,1-2,4,87,0.0,2,25
牡丹江,2020-01-06,-3,-13,小雪,小雪,西南风,1-2,2,96,0.0,1,3
牡丹江,2020-01-07,-6,-19,小雪,多云,西北风,1-2,2,95,0.0,2,20
牡丹江,2020-01-08,-6,-19,晴,晴,西北风,1-2,2,89,0.0,2,24
