城市,日期,aqi指数,首要污染物,空气质量
北京,2020-01-04,50,PM2.5,优
北京,2020-01-05,100,PM2.5,良
北京,2020-01-06,148,PM2.5,轻度污染
北京,2020-01-07,88,PM2.5,良
北京,2020-01-08,97,PM2.5,良
北京,2020-01-09,165,PM2.5,中度污染
北京,2020-01-10,310,PM2.5,严重污染
上海,2020-01-04,79,NO2,良
上海,2020-01-05,14,-,优
上海,2020-01-06,57,NO2,良
上海,2020-01-07,60,NO2,良
上海,2020-01-08,47,-,优
上海,2020-01-09,97,PM2.5,良
上海,2020-01-10,64,PM2.5,良
天津,2020-01-04,65,PM2.5,良
天津,2020-01-05,32,-,优
天津,2020-01-06,95,-,良
天津,2020-01-07,44,-,优
天津,2020-01-08,49,-,优
天津,2020-01-09,211,PM2.5,重度污染
天津,2020-01-10,275,PM2.5,重度污染
重庆,2020-01-04,100,PM2.5,良
重庆,2020-01-05,85,PM2.5,良
重庆,2020-01-06,70,PM2.5,良
重庆,2020-01-07,66,PM2.5,良
重庆,2020-01-08,70,PM2.5,良
重庆,2020-01-09,137,PM2.5,轻度污染
重庆,2020-01-10,231,PM2.5,重度污染
哈尔滨,2020-01-04,269,PM2.5,重度污染
哈尔滨,2020-01-05,162,PM2.5,中度污染
哈尔滨,2020-01-06,85,PM2.5,良
哈尔滨,2020-01-07,74,PM2.5,良
哈尔滨,2020-01-08,116,PM2.5,轻度污染
哈尔滨,2020-01-09,149,PM2.5,轻度污染
哈尔滨,2020-01-10,150,PM2.5,轻度污染
齐齐哈尔,2020-01-04,47,-,优
齐齐哈尔,2020-01-05,50,-,优
齐齐哈尔,2020-01-06,78,PM2.5,良
齐齐哈尔,2020-01-07,45,-,优
齐齐哈尔,2020-01-08,48,-,优
齐齐哈尔,2020-01-09,49,-,优
齐齐哈尔,2020-01-10,54,PM2.5,良
牡丹江,2020-01-04,95,PM2.5,良
牡丹江,2020-01-05,44,-,优
牡丹江,2020-01-06,57,-,良
牡丹江,2020-01-07,23,-,优
牡丹江,2020-01-08,30,-,优
牡丹江,2020-01-09,69,PM2.5,良
牡丹江,2020-01-10,59,PM2.5,良
佳木斯,2020-01-04,89,-,良
佳木斯,2020-01-05,62,PM2.5,良
佳木斯,2020-01-06,38,-,优
佳木斯,2020-01-07,51,-,良
佳木斯,2020-01-08,46,-,优
佳木斯,2020-01-09,46,-,优
佳木斯,2020-01-10,80,PM2.5,良
绥化,2020-01-04,297,PM2.5,重度污染
绥化,2020-01-05,157,PM2.5,中度污染
绥化,2020-01-06,42,-,优
绥化,2020-01-07,92,PM2.5,良
绥化,2020-01-08,79,PM2.5,良
绥化,2020-01-09,155,PM2.5,中度污染
绥化,2020-01-10,162,PM2.5,中度污染
黑河,2020-01-04,46,-,优
黑河,2020-01-05,48,-,优
黑河,2020-01-06,44,-,优
黑河,2020-01-07,44,-,优
黑河,2020-01-08,47,-,优
黑河,2020-01-09,46,-,优
黑河,2020-01-10,50,-,优
大兴安岭,2020-01-04,49,-,优
大兴安岭,2020-01-05,47,-,优
大兴安岭,2020-01-06,45,-,优
大兴安岭,2020-01-07,47,-,优
大兴安岭,2020-01-08,48,-,优
大兴安岭,2020-01-09,49,-,优
大兴安岭,2020-01-10,52,-,良
伊春,2020-01-04,45,-,优
伊春,2020-01-05,48,-,优
伊春,2020-01-06,49,-,优
伊春,2020-01-07,49,-,优
伊春,2020-01-08,46,-,优
伊春,2020-01-09,46,-,优
伊春,2020-01-10,60,PM2.5,良
大庆,2020-01-04,88,PM2.5,良
大庆,2020-01-05,60,PM2.5,良
大庆,2020-01-06,93,PM2.5,良
大庆,2020-01-07,57,PM2.5,良
大庆,2020-01-08,73,PM2.5,良
大庆,2020-01-09,80,PM2.5,良
大庆,2020-01-10,68,PM2.5,良
七台河,2020-01-04,148,-,轻度污染
七台河,2020-01-05,57,PM2.5,良
七台河,2020-01-06,37,-,优
七台河,2020-01-07,49,-,优
七台河,2020-01-08,55,-,良
七台河,2020-01-09,46,-,优
七台河,2020-01-10,73,PM2.5,良
鸡西,2020-01-04,45,-,优
鸡西,2020-01-05,50,-,优
鸡西,2020-01-06,52,PM2.5,良
鸡西,2020-01-07,52,PM2.5,良
鸡西,2020-01-08,46,-,优
鸡西,2020-01-09,47,-,优
鸡西,2020-01-10,64,PM2.5,良
鹤岗,2020-01-04,46,-,优
鹤岗,2020-01-05,72,-,良
鹤岗,2020-01-06,23,-,优
鹤岗,2020-01-07,49,-,优
鹤岗,2020-01-08,86,-,良
鹤岗,2020-01-09,45,-,优
鹤岗,2020-01-10,70,PM2.5,良
双鸭山,2020-01-04,78,-,良
双鸭山,2020-01-05,57,PM2.5,良
双鸭山,2020-01-06,35,-,优
双鸭山,2020-01-07,52,-,良
双鸭山,2020-01-08,52,-,良
双鸭山,2020-01-09,45,-,优
双鸭山,2020-01-10,72,PM2.5,良
长春,2020-01-04,95,PM2.5,良
长春,2020-01-05,120,PM2.5,轻度污染
长春,2020-01-06,120,PM2.5,轻度污染
长春,2020-01-07,95,PM2.5,良
长春,2020-01-08,75,PM2.5,良
长春,2020-01-09,278,PM2.5,重度污染
长春,2020-01-10,247,PM2.5,重度污染
吉林,2020-01-04,85,PM2.5,良
吉林,2020-01-05,53,PM2.5,良
吉林,2020-01-06,60,-,良
吉林,2020-01-07,38,-,优
吉林,2020-01-08,27,-,优
吉林,2020-01-09,89,PM2.5,良
吉林,2020-01-10,68,PM2.5,良
延边,2020-01-04,45,-,优
延边,2020-01-05,50,-,优
延边,2020-01-06,48,-,优
延边,2020-01-07,24,-,优
延边,2020-01-08,49,-,优
延边,2020-01-09,48,-,优
延边,2020-01-10,47,-,优
四平,2020-01-04,144,PM2.5,轻度污染
四平,2020-01-05,94,PM2.5,良
四平,2020-01-06,66,PM2.5,良
四平,2020-01-07,105,PM2.5,轻度污染
四平,2020-01-08,108,PM2.5,轻度污染
四平,2020-01-09,103,PM2.5,轻度污染
四平,2020-01-10,138,PM2.5,轻度污染
通化,2020-01-04,87,-,良
通化,2020-01-05,28,-,优
通化,2020-01-06,49,-,优
通化,2020-01-07,24,-,优
通化,2020-01-08,49,-,优
通化,2020-01-09,54,PM2.5,良
通化,2020-01-10,48,-,优
白城,2020-01-04,48,-,优
白城,2020-01-05,49,-,优
白城,2020-01-06,75,PM2.5,良
白城,2020-01-07,46,-,优
白城,2020-01-08,49,-,优
白城,2020-01-09,50,-,优
白城,2020-01-10,53,-,良
辽源,2020-01-04,154,PM2.5,中度污染
辽源,2020-01-05,55,PM2.5,良
